Frase,Gabarito (Gold),Claude_sonnet5,respostaGrok4.0Fast,respostasGemini3.1Pro,respostas_gpt5.5_mini
"A Batalha de Long Island, a maior batalha de a Guerra Revolucionária Americana, foi travada em agosto de 1776, inteiramente em o bairro moderno de o Brooklyn.","⚠ A Batalha de Long Island → foi → travada em agosto de 1776
A Batalha de Long Island → foi travada em → agosto de 1776","✗ A Batalha de Long Island → era → a maior batalha da Guerra Revolucionária Americana
✓✓ A Batalha de Long Island → foi travada em → agosto de 1776
✗ A Batalha de Long Island → foi travada inteiramente em → o bairro moderno do Brooklyn","✗ A Batalha de Long Island → é → a maior batalha de a Guerra Revolucionária Americana
✓✓ A Batalha de Long Island → foi travada em → agosto de 1776
✗ A Batalha de Long Island → foi travada em → o bairro moderno de o Brooklyn","✗ A Batalha de Long Island → é → a maior batalha de a Guerra Revolucionária Americana
✗ A Batalha de Long Island → foi travada em → o bairro moderno de o Brooklyn","✗ A Batalha de Long Island → é → a maior batalha de a Guerra Revolucionária Americana
✓✓ A Batalha de Long Island → foi travada em → agosto de 1776
✗ A Batalha de Long Island → foi travada em → o bairro moderno de o Brooklyn"
"Quando um candidato presidencial republicano às eleições de 2016 ridicularizou o liberalismo de os valores de Nova York em janeiro de 2016, Donald Trump, líder em as pesquisas, defendeu vigorosamente sua cidade.","⚠ Donald Trump → defendeu → vigorosamente sua cidade
⚠ Donald Trump → defendeu → sua cidade
Donald Trump → defendeu vigorosamente → sua cidade
⚠ um candidato presidencial republicano → ridicularizou → o liberalismo de os valores de Nova York","✗ um candidato presidencial republicano às eleições de 2016 → ridicularizou → o liberalismo dos valores de Nova York
✗ um candidato presidencial republicano às eleições de 2016 → ridicularizou o liberalismo dos valores de Nova York em → janeiro de 2016
✗ Donald Trump → era → líder nas pesquisas
✓✓ Donald Trump → defendeu vigorosamente → sua cidade","✗ Donald Trump → é → líder em as pesquisas
✓✓ Donald Trump → defendeu vigorosamente → sua cidade","✗ Donald Trump → é → líder em as pesquisas
✗ Donald Trump → defendeu → a cidade de Donald Trump","✗ um candidato presidencial republicano às eleições de 2016 → ridicularizou → o liberalismo de os valores de Nova York
✗ Donald Trump → era líder em → as pesquisas
✗ Donald Trump → defendeu vigorosamente → Nova York"
"O ponto mais alto de a cidade é Todt Hill, em Staten Island, que, a 124,9 m acima de o nível de o mar, é o ponto mais alto de a costa leste de o sul de o Maine.",O ponto mais alto de a cidade → é → Todt Hill,"✓ O ponto mais alto da cidade → é → Todt Hill
✗ Todt Hill → está em → Staten Island
✗ Todt Hill → está a → 124,9 m acima do nível do mar
✗ Todt Hill → é → o ponto mais alto da costa leste do sul do Maine","✗ O ponto mais alto de a cidade → é → Todt Hill, em Staten Island
✗ Todt Hill → é → o ponto mais alto de a costa leste de o sul de o Maine",✓✓ O ponto mais alto de a cidade → é → Todt Hill,"✓✓ O ponto mais alto de a cidade → é → Todt Hill
✗ Todt Hill → está em → Staten Island
✗ Todt Hill → está a → 124,9 m acima de o nível de o mar
✗ Todt Hill → é → o ponto mais alto de a costa leste de o sul de o Maine"
"O maior parque municipal de a cidade é o Pelham Bay Park, com 2.700 acres (1.093 ha).",O maior parque municipal de a cidade → é → o Pelham Bay Park,"✓ O maior parque municipal da cidade → é → o Pelham Bay Park
✗ o Pelham Bay Park → tem → 2.700 acres (1.093 ha)",✓✓ O maior parque municipal de a cidade → é → o Pelham Bay Park,✓✓ O maior parque municipal de a cidade → é → o Pelham Bay Park,"✓✓ O maior parque municipal de a cidade → é → o Pelham Bay Park
✗ o Pelham Bay Park → tem → 2.700 acres (1.093 ha)"
"A cidade de Nova York possui um alto grau de disparidade de renda, conforme indicado por o seu coeficiente de Gini de 0,5 para a cidade em geral e 0,6 para Manhattan.",⚠ Nova York → possui → um alto grau de disparidade de renda,"✗ A cidade de Nova York → possui → um alto grau de disparidade de renda
✗ A cidade de Nova York → tem coeficiente de Gini de → 0,5 para a cidade em geral
✗ Manhattan → tem coeficiente de Gini de → 0,6",✗ A cidade de Nova York → possui → um alto grau de disparidade de renda,✗ A cidade de Nova York → possui → um alto grau de disparidade de renda,"✗ A cidade de Nova York → possui → um alto grau de disparidade de renda
✗ A cidade de Nova York → tem coeficiente de Gini de → 0,5 para a cidade em geral
✗ A cidade de Nova York → tem coeficiente de Gini de → 0,6 para Manhattan"
"A frota de ônibus públicos de a cidade de Nova York é a maior de a América de o Norte, e o Port Authority Bus Terminal, o principal terminal de ônibus interurbano de a cidade, atende 7.000 ônibus e 200.000 passageiros diariamente, tornando-se a estação de ônibus mais movimentada de o mundo.","A frota de ônibus públicos de a cidade de Nova York → é → a maior de a América de o Norte
o Port Authority Bus Terminal → atende → 7.000 ônibus e 200.000 passageiros diariamente","✓ A frota de ônibus públicos da cidade de Nova York → é → a maior da América do Norte
✗ o Port Authority Bus Terminal → é → o principal terminal de ônibus interurbano da cidade
✗ o Port Authority Bus Terminal → atende → 7.000 ônibus diariamente
✗ o Port Authority Bus Terminal → atende → 200.000 passageiros diariamente
✗ o Port Authority Bus Terminal → é → a estação de ônibus mais movimentada do mundo","✓✓ A frota de ônibus públicos de a cidade de Nova York → é → a maior de a América de o Norte
✗ o Port Authority Bus Terminal → é → o principal terminal de ônibus interurbano de a cidade
✓✓ o Port Authority Bus Terminal → atende → 7.000 ônibus e 200.000 passageiros diariamente
✗ o Port Authority Bus Terminal → é → a estação de ônibus mais movimentada de o mundo","✓✓ A frota de ônibus públicos de a cidade de Nova York → é → a maior de a América de o Norte
✗ o Port Authority Bus Terminal → é → o principal terminal de ônibus interurbano de a cidade
✓ o Port Authority Bus Terminal → atende → 7.000 ônibus e 200.000 passageiros","✓✓ A frota de ônibus públicos de a cidade de Nova York → é → a maior de a América de o Norte
✗ o Port Authority Bus Terminal → é → o principal terminal de ônibus interurbano de a cidade
✗ o Port Authority Bus Terminal → atende → 7.000 ônibus
✗ o Port Authority Bus Terminal → atende → 200.000 passageiros diariamente
✗ o Port Authority Bus Terminal → é → a estação de ônibus mais movimentada de o mundo"
"Eu amo Nova Iorque (estilizado I ❤ NY) é um logotipo e uma música que são a base de uma campanha publicitária e são usados desde 1977 para promover o turismo em a cidade de Nova York e, posteriormente, também para promover o Estado de Nova York.",⚠ Eu amo Nova Iorque → é → um logotipo e uma música que são a base de uma campanha publicitária,"✗ Eu amo Nova Iorque → é estilizado → I ❤ NY
✗ Eu amo Nova Iorque → é → um logotipo
✗ Eu amo Nova Iorque → é → uma música
✗ Eu amo Nova Iorque → é a base de → uma campanha publicitária
✗ Eu amo Nova Iorque → é usado desde → 1977
✗ Eu amo Nova Iorque → é usado para promover → o turismo na cidade de Nova York
✗ Eu amo Nova Iorque → é usado para promover → o Estado de Nova York","✗ Eu amo Nova Iorque → é → um logotipo e uma música
✗ Eu amo Nova Iorque → é a base de → uma campanha publicitária
✗ Eu amo Nova Iorque → é usado desde → 1977 para promover o turismo em a cidade de Nova York",✗ Eu amo Nova Iorque → é → um logotipo e uma música,"✗ Eu amo Nova Iorque → é estilizado como → I ❤ NY
✗ Eu amo Nova Iorque → é → um logotipo
✗ Eu amo Nova Iorque → é → uma música
✗ Eu amo Nova Iorque → são a base de → uma campanha publicitária
✗ Eu amo Nova Iorque → são usados desde 1977 para promover → o turismo em a cidade de Nova York
✗ Eu amo Nova Iorque → são usados desde 1977 também para promover → o Estado de Nova York"
"A cidade de Nova York está localizada em um de os maiores portos naturais de o mundo, e os bairros de Manhattan e Staten Island são (principalmente) coterminosos com ilhas com os mesmos nomes, enquanto Queens e Brooklyn estão localizadas em a extremidade oeste de a maior Ilha Longa, e O Bronx está localizado em a ponta sul de o continente de o estado de Nova York.","⚠ A cidade de Nova York → está → localizada em um de os maiores portos naturais de o mundo
A cidade de Nova York → está localizada em → um de os maiores portos naturais de o mundo","✓ A cidade de Nova York → está localizada em → um dos maiores portos naturais do mundo
✗ o bairro de Manhattan → é coterminoso com → uma ilha com o mesmo nome
✗ o bairro de Staten Island → é coterminoso com → uma ilha com o mesmo nome
✗ Queens → está localizado em → a extremidade oeste da maior Ilha Longa
✗ Brooklyn → está localizado em → a extremidade oeste da maior Ilha Longa
✗ O Bronx → está localizado em → a ponta sul do continente do estado de Nova York",✓✓ A cidade de Nova York → está localizada em → um de os maiores portos naturais de o mundo,✓✓ A cidade de Nova York → está localizada em → um de os maiores portos naturais de o mundo,"✓✓ A cidade de Nova York → está localizada em → um de os maiores portos naturais de o mundo
✗ os bairros de Manhattan e Staten Island → são (principalmente) coterminosos com → ilhas com os mesmos nomes
✗ Queens e Brooklyn → estão localizadas em → a extremidade oeste de a maior Ilha Longa
✗ O Bronx → está localizado em → a ponta sul de o continente de o estado de Nova York"
"Desde 1990, uma peça baseada em o romance é realizada anualmente em a cidade natal de Harper Lee, em Monroeville, Alabama.:","⚠ uma peça → é → realizada anualmente em a cidade natal de Harper Lee
uma peça baseada em o romance → é realizada anualmente em → a cidade natal de Harper Lee","✓ uma peça baseada no romance → é realizada anualmente em → a cidade natal de Harper Lee
✗ a cidade natal de Harper Lee → é → Monroeville, Alabama
✗ uma peça baseada no romance → é realizada desde → 1990","✗ uma peça baseada em o romance → é realizada anualmente → em a cidade natal de Harper Lee, em Monroeville, Alabama desde 1990",✓✓ uma peça baseada em o romance → é realizada anualmente em → a cidade natal de Harper Lee,"✓✓ uma peça baseada em o romance → é realizada anualmente em → a cidade natal de Harper Lee
✗ uma peça baseada em o romance → é realizada anualmente em → Monroeville, Alabama"
"Em 1960, Capote e Lee viajaram juntos para o Kansas para investigar os vários assassinatos que foram a base de o romance de ficção não-ficção de Capote In Cold Blood.","⚠ Capote e Lee → viajaram → juntos para o Kansas
Capote e Lee → viajaram juntos para → o Kansas","✗ Capote → viajou para → o Kansas
✗ Lee → viajou para → o Kansas
✗ Capote → viajou para o Kansas em → 1960
✗ Lee → viajou para o Kansas em → 1960
✗ Capote e Lee → tinham o propósito de investigar → os vários assassinatos
✗ os vários assassinatos → foram a base de → o romance de ficção não-ficção de Capote In Cold Blood","✗ Capote e Lee → viajaram juntos → para o Kansas em 1960
✗ Capote e Lee → investigaram → os vários assassinatos que foram a base de o romance de ficção não-ficção de Capote In Cold Blood",✓✓ Capote e Lee → viajaram juntos para → o Kansas,"✓✓ Capote e Lee → viajaram juntos para → o Kansas
✗ Capote e Lee → investigaram → os vários assassinatos
✗ os vários assassinatos → foram a base de → o romance de ficção não-ficção de Capote In Cold Blood"
"O alabamiano nativo Allen Barra criticou Lee e o romance em o The Wall Street Journal, chamando o Atticus de repositório de epigramas de barril de cracker e o romance representa um mito coberto de açúcar de a história de o Alabama.","⚠ Allen Barra → criticou → Lee e o romance em o The Wall Street Journal
⚠ O alabamiano nativo Allen Barra → criticou → Lee e o romance em o The Wall Street Journal","✗ Allen Barra → é → o alabamiano nativo
✗ Allen Barra → criticou → Lee
✗ Allen Barra → criticou → o romance
✗ Allen Barra → criticou Lee e o romance em → o The Wall Street Journal
✗ Allen Barra → chamou o Atticus de → repositório de epigramas de barril de cracker
✗ Allen Barra → afirmou que → o romance representa um mito coberto de açúcar da história do Alabama","✗ Allen Barra → é → alabamiano nativo
✗ Allen Barra → criticou → Lee e o romance",✗ O alabamiano nativo Allen Barra → criticou → Lee e o romance,"✗ O alabamiano nativo Allen Barra → criticou → Lee e o romance
✗ O alabamiano nativo Allen Barra → criticou em → o The Wall Street Journal
✗ O alabamiano nativo Allen Barra → chamou o Atticus de → repositório de epigramas de barril de cracker
✗ O alabamiano nativo Allen Barra → disse que o romance representa → um mito coberto de açúcar de a história de o Alabama"
"O pai de Lee morreu antes de o lançamento de o filme, e Lee ficou tão impressionado com a performance de Peck que ela lhe deu um relógio de bolso de o pai, que ele tinha com ele em a noite em que recebeu o Oscar de melhor ator.","O pai de Lee → morreu → antes de o lançamento de o filme
O pai de Lee → morreu antes de → o lançamento de o filme
⚠ Lee → ficou → impressionado com a performance de Peck","✓ O pai de Lee → morreu antes de → o lançamento do filme
✗ Lee → ficou impressionada com → a performance de Peck
✗ Lee → deu a Peck → um relógio de bolso do pai de Lee
✗ Peck → tinha consigo → o relógio de bolso do pai de Lee
✗ Peck → tinha o relógio de bolso do pai de Lee em → a noite em que recebeu o Oscar de melhor ator
✗ Peck → recebeu → o Oscar de melhor ator","✓✓ o pai de Lee → morreu → antes de o lançamento de o filme
✗ Lee → deu → um relógio de bolso de o pai a Peck",✓✓ O pai de Lee → morreu → antes de o lançamento de o filme,"✓✓ O pai de Lee → morreu antes de → o lançamento de o filme
✗ Lee → ficou tão impressionado com → a performance de Peck
✗ Lee → deu → um relógio de bolso de o pai
✗ Peck → tinha com ele → um relógio de bolso de o pai
✗ Peck → recebeu → o Oscar de melhor ator"
"Como resultado de o colapso de a União Soviética, o Tajiquistão se tornou uma nação independente em 1991.",o Tajiquistão → se tornou → uma nação independente em 1991,"✓ o Tajiquistão → se tornou → uma nação independente
✗ o Tajiquistão → se tornou uma nação independente em → 1991
✗ o colapso da União Soviética → resultou em → a independência do Tajiquistão",✓✓ o Tajiquistão → se tornou → uma nação independente em 1991,✓ o Tajiquistão → se tornou → uma nação independente,"✗ o colapso de a União Soviética → resultou em → o Tajiquistão se tornar uma nação independente em 1991
✓✓ o Tajiquistão → se tornou → uma nação independente em 1991"
"Em 2010, houve preocupações entre as autoridades tadjiques de que o militarismo islâmico em o leste de o país estava em ascensão após a fuga de 25 militantes de uma prisão tadjique em agosto, uma emboscada que matou 28 soldados tadjiques em o vale de Rasht em setembro, e outra emboscada em o vale em outubro que matou 30 soldados, seguida de combates fora de Gharm que deixaram 3 militantes mortos.",⚠ o militarismo islâmico em o leste de o país → estava em → ascensão após a fuga de 25 militantes,"✗ as autoridades tadjiques → tinham preocupações em → 2010
✗ as autoridades tadjiques → tinham preocupações de que → o militarismo islâmico no leste do país estava em ascensão
✗ 25 militantes → fugiram de → uma prisão tadjique
✗ 25 militantes → fugiram de uma prisão tadjique em → agosto
✗ uma emboscada → matou → 28 soldados tadjiques
✗ uma emboscada → matou 28 soldados tadjiques em → o vale de Rasht
✗ uma emboscada → matou 28 soldados tadjiques em → setembro
✗ outra emboscada no vale → matou → 30 soldados
✗ outra emboscada no vale → matou 30 soldados em → outubro
✗ outra emboscada no vale → foi seguida de → combates fora de Gharm
✗ combates fora de Gharm → deixaram → 3 militantes mortos",(nenhuma extração),✗ uma emboscada → matou → 28 soldados tadjiques,"✗ houve →  → preocupações entre as autoridades tadjiques
✗ 25 militantes → fugiram de → uma prisão tadjique
✗ uma emboscada → matou → 28 soldados tadjiques
✗ uma emboscada → matou → 30 soldados
✗ combates fora de Gharm → deixaram mortos → 3 militantes"
"O Império Samanida, 819 a 999, restaurou o controle persa de a região e ampliou as cidades de Samarcanda e Bukhara (hoje as duas cidades fazem parte de o Uzbequistão), que se tornaram os centros culturais de o Irã e a região era conhecida como Khorasan.","O Império Samanida → restaurou → o controle persa
⚠ a região → era → conhecida como Khorasan
a região → era conhecida como → Khorasan","✗ O Império Samanida → existiu de → 819 a 999
✓ O Império Samanida → restaurou → o controle persa da região
✗ O Império Samanida → ampliou → a cidade de Samarcanda
✗ O Império Samanida → ampliou → a cidade de Bukhara
✗ a cidade de Samarcanda → hoje faz parte de → o Uzbequistão
✗ a cidade de Bukhara → hoje faz parte de → o Uzbequistão
✗ Samarcanda e Bukhara → se tornaram → os centros culturais do Irã
✓✓ a região → era conhecida como → Khorasan","✗ O Império Samanida → é → 819 a 999
✗ O Império Samanida → restaurou → o controle persa de a região
✗ O Império Samanida → ampliou → as cidades de Samarcanda e Bukhara
✗ Samarcanda e Bukhara → fazem parte de → o Uzbequistão
✗ Samarcanda e Bukhara → se tornaram → os centros culturais de o Irã
✓✓ a região → era conhecida como → Khorasan","✗ O Império Samanida → restaurou → o controle persa de a região
✗ O Império Samanida → ampliou → as cidades de Samarcanda e Bukhara","✗ O Império Samanida → restaurou → o controle persa de a região
✗ O Império Samanida → ampliou → as cidades de Samarcanda e Bukhara
✗ Samarcanda e Bukhara → fazem parte de → o Uzbequistão
✗ Samarcanda e Bukhara → se tornaram → os centros culturais de o Irã
✓✓ a região → era conhecida como → Khorasan"
"Durante o final de o século XIX, os jadidistas se estabeleceram como um movimento social islâmico em toda a região.",os jadidistas → se estabeleceram → como um movimento social islâmico,"✓ os jadidistas → se estabeleceram como → um movimento social islâmico
✗ os jadidistas → se estabeleceram em → toda a região
✗ os jadidistas → se estabeleceram durante → o final do século XIX","✓ os jadidistas → se estabeleceram como → um movimento social islâmico
✗ os jadidistas → se estabeleceram em → toda a região",✓ os jadidistas → se estabeleceram como → um movimento social islâmico,"✓ os jadidistas → se estabeleceram como → um movimento social islâmico
✗ os jadidistas → se estabeleceram em → toda a região"
"1916, quando manifestantes atacaram soldados russos em Khujand por uma ameaça de recrutamento forçado durante a Primeira Guerra Mundial.",manifestantes → atacaram → soldados russos,"✓✓ manifestantes → atacaram → soldados russos
✗ manifestantes → atacaram soldados russos em → Khujand
✗ manifestantes → atacaram soldados russos em → 1916
✗ manifestantes → atacaram soldados russos por → uma ameaça de recrutamento forçado
✗ uma ameaça de recrutamento forçado → ocorreu durante → a Primeira Guerra Mundial",✗ manifestantes → atacaram → soldados russos em Khujand,"✓✓ manifestantes → atacaram → soldados russos
✗ manifestantes → atacaram em → Khujand","✓✓ manifestantes → atacaram → soldados russos
✗ manifestantes → atacaram em → Khujand"
Waitz definiu antropologia como a ciência de a natureza de o homem.,"Waitz → definiu → antropologia como a ciência de a natureza de o homem
Waitz → definiu antropologia como → a ciência de a natureza de o homem",✓ Waitz → definiu antropologia como → a ciência da natureza do homem,✓✓ Waitz → definiu → antropologia como a ciência de a natureza de o homem,✓✓ Waitz → definiu → antropologia como a ciência de a natureza de o homem,✓ Waitz → definiu → antropologia como a ciência da natureza do homem
"O DNA consiste em uma cadeia feita de quatro tipos de subunidades nucleotídicas, cada uma composta por um açúcar de cinco carbonos (2-desoxirribose), um grupo fosfato e uma de as quatro bases adenina, citosina, guanina e timina.",O DNA → consiste em → uma cadeia feita de quatro tipos de subunidades nucleotídicas,"✓✓ O DNA → consiste em → uma cadeia feita de quatro tipos de subunidades nucleotídicas
✗ cada subunidade nucleotídica → é composta por → um açúcar de cinco carbonos (2-desoxirribose)
✗ cada subunidade nucleotídica → é composta por → um grupo fosfato
✗ cada subunidade nucleotídica → é composta por → uma das quatro bases adenina, citosina, guanina e timina",✓✓ O DNA → consiste em → uma cadeia feita de quatro tipos de subunidades nucleotídicas,"✓✓ O DNA → consiste em → uma cadeia feita de quatro tipos de subunidades nucleotídicas
✗ cada uma de as quatro tipos de subunidades nucleotídicas → é composta por → um açúcar de cinco carbonos
✗ cada uma de as quatro tipos de subunidades nucleotídicas → é composta por → um grupo fosfato
✗ um açúcar de cinco carbonos → é → 2-desoxirribose","✓✓ O DNA → consiste em → uma cadeia feita de quatro tipos de subunidades nucleotídicas
✗ cada uma → é composta por → um açúcar de cinco carbonos (2-desoxirribose)
✗ cada uma → é composta por → um grupo fosfato
✗ cada uma → é composta por → uma das quatro bases adenina, citosina, guanina e timina"
"Com a ocupação de Napoleão, Portugal começou um declínio lento, mas inexorável, que durou até o século XX.",⚠ Portugal → começou → um declínio lento,"✗ Portugal → começou → um declínio lento, mas inexorável
✗ Portugal → começou o declínio com → a ocupação de Napoleão
✗ o declínio lento, mas inexorável de Portugal → durou até → o século XX",✗ Portugal → começou um declínio lento → ,"✗ Portugal → começou → um declínio lento, mas inexorável
✗ um declínio lento, mas inexorável → durou até → o século XX","✗ Portugal → começou → um declínio lento, mas inexorável
✗ um declínio lento, mas inexorável → durou até → o século XX"
"Portugal mantém uma forma republicana semi-presidencial unitária de governo e é um país desenvolvido com uma economia avançada e um alto padrão de vida, tendo o 18º maior progresso social de o mundo, colocando-o a a frente de outros países de a Europa Ocidental como França, Espanha e Itália.",Portugal → mantém → uma forma republicana semi-presidencial,"✓ Portugal → mantém → uma forma republicana semi-presidencial unitária de governo
✗ Portugal → é → um país desenvolvido
✗ Portugal → tem → uma economia avançada
✗ Portugal → tem → um alto padrão de vida
✗ Portugal → tem → o 18º maior progresso social do mundo
✗ Portugal → está à frente de → França
✗ Portugal → está à frente de → Espanha
✗ Portugal → está à frente de → Itália","✓ Portugal → mantém → uma forma republicana semi-presidencial unitária de governo
✗ Portugal → é → um país desenvolvido
✗ Portugal → tem → o 18º maior progresso social de o mundo","✓ Portugal → mantém → uma forma republicana semi-presidencial unitária de governo
✗ Portugal → é → um país desenvolvido com uma economia avançada e um alto padrão de vida
✗ Portugal → tem → o 18º maior progresso social de o mundo","✓ Portugal → mantém → uma forma republicana semi-presidencial unitária de governo
✗ Portugal → é → um país desenvolvido com uma economia avançada e um alto padrão de vida
✗ Portugal → tem → o 18º maior progresso social do mundo
✗ Portugal → coloca-se à frente de → outros países da Europa Ocidental como França, Espanha e Itália"
"Mais tarde, uma província de o norte de a Lusitânia foi formada, conhecida como Gallaecia, com capital em Bracara Augusta, hoje Braga.",⚠ uma província de o norte de a Lusitânia → foi → formada,"✗ uma província do norte da Lusitânia → era conhecida como → Gallaecia
✗ Gallaecia → tinha capital em → Bracara Augusta
✗ Bracara Augusta → é hoje → Braga","✗ uma província de o norte de a Lusitânia → foi formada → 
✗ uma província de o norte de a Lusitânia → é conhecida como → Gallaecia","✗ uma província de o norte de a Lusitânia → é conhecida como → Gallaecia
✗ Gallaecia → tem capital em → Bracara Augusta
✗ Bracara Augusta → é hoje → Braga","✗ uma província do norte da Lusitânia → foi formada → Gallaecia
✗ Gallaecia → tinha como capital → Bracara Augusta"
"O período de Taifa terminou com a conquista de os almorávidas que vieram de o Marrocos em 1086, conquistando uma vitória decisiva em a Batalha de Sagrajas, seguida um século depois em 1147, após o segundo período de Taifa, pelos Almohads, também de Marraquexe.","O período de Taifa → terminou com → a conquista de os almorávidas
⚠ O período de Taifa → terminou com → a conquista de os almorávidas que vieram de o Marrocos em 1086","✓ O período de Taifa → terminou com → a conquista dos almorávidas
✗ os almorávidas → vieram de → o Marrocos
✗ os almorávidas → vieram do Marrocos em → 1086
✗ os almorávidas → conquistaram → uma vitória decisiva
✗ os almorávidas → conquistaram uma vitória decisiva em → a Batalha de Sagrajas
✗ a conquista dos almorávidas → foi seguida um século depois por → os Almohads
✗ a conquista dos Almohads → ocorreu em → 1147
✗ os Almohads → eram também de → Marraquexe",✓✓ O período de Taifa → terminou com → a conquista de os almorávidas,"✓✓ O período de Taifa → terminou com → a conquista de os almorávidas
✗ os almorávidas → vieram de → o Marrocos
✗ os almorávidas → conquistaram → uma vitória decisiva em a Batalha de Sagrajas","✓ O período de Taifa → terminou com → a conquista dos almorávidas
✗ os almorávidas → vieram de → o Marrocos
✗ os almorávidas → conquistaram → uma vitória decisiva na Batalha de Sagrajas"
Os berberes eram originalmente de as montanhas de o Atlas e Rif de o norte de a África e eram essencialmente nômades.,"⚠ Os berberes → eram → originalmente de as montanhas de o Atlas
Os berberes → eram originalmente de → as montanhas de o Atlas","✓ Os berberes → eram originalmente de → as montanhas do Atlas
✗ Os berberes → eram originalmente de → as montanhas do Rif
✗ as montanhas do Atlas e Rif → são de → o norte da África
✗ Os berberes → eram essencialmente → nômades","✗ Os berberes → eram originalmente de → as montanhas de o Atlas e Rif de o norte de a África
✗ Os berberes → eram essencialmente → nômades","✗ Os berberes → eram originalmente de → as montanhas de o Atlas e Rif de o norte de a África
✗ Os berberes → eram → essencialmente nômades","✗ Os berberes → eram originalmente de → as montanhas do Atlas e Rif do norte da África
✗ Os berberes → eram → essencialmente nômades"
"Mas as maiores reformas de Sebastião de Melo foram econômicas e financeiras, com a criação de várias empresas e guildas para regular todas as atividades comerciais.",as maiores reformas de Sebastião de Melo → foram → econômicas e financeiras,"✓✓ as maiores reformas de Sebastião de Melo → foram → econômicas e financeiras
✗ Sebastião de Melo → criou → várias empresas
✗ Sebastião de Melo → criou → guildas
✗ várias empresas e guildas → tinham o propósito de regular → todas as atividades comerciais",✓✓ as maiores reformas de Sebastião de Melo → foram → econômicas e financeiras,"✗ as maiores reformas de Sebastião de Melo → foram → econômicas
✗ as maiores reformas de Sebastião de Melo → foram → financeiras","✓✓ as maiores reformas de Sebastião de Melo → foram → econômicas e financeiras
✗ Sebastião de Melo → criou → várias empresas
✗ Sebastião de Melo → criou → guildas
✗ Sebastião de Melo → regulou → todas as atividades comerciais"
"Em 2001, Portugal descriminalizou a posse de todas as drogas que ainda são ilegais em outros países desenvolvidos, incluindo, entre outras, maconha, cocaína, heroína e LSD.",Portugal → descriminalizou → a posse de todas as drogas,"✓✓ Portugal → descriminalizou → a posse de todas as drogas
✗ Portugal → descriminalizou a posse de todas as drogas em → 2001
✗ todas as drogas → ainda são ilegais em → outros países desenvolvidos
✗ as drogas → incluem → maconha
✗ as drogas → incluem → cocaína
✗ as drogas → incluem → heroína
✗ as drogas → incluem → LSD",✓✓ Portugal → descriminalizou → a posse de todas as drogas,✗ Portugal → descriminalizou → a posse de todas as drogas que ainda são ilegais em outros países desenvolvidos,"✗ Portugal → descriminalizou → a posse de todas as drogas que ainda são ilegais em outros países desenvolvidos
✗ drogas → incluem → maconha
✗ drogas → incluem → cocaína
✗ drogas → incluem → heroína
✗ drogas → incluem → LSD"
"O banco central de Portugal é o Banco de Portugal, parte integrante de o Sistema Europeu de Bancos Centrais.",O banco central de Portugal → é → parte integrante de o Sistema Europeu de Bancos Centrais,"✗ O banco central de Portugal → é → o Banco de Portugal
✓ o Banco de Portugal → é → parte integrante do Sistema Europeu de Bancos Centrais",✗ O banco central de Portugal → é → o Banco de Portugal,"✗ O banco central de Portugal → é → o Banco de Portugal
✓ o Banco de Portugal → é → parte integrante de o Sistema Europeu de Bancos Centrais","✗ O banco central de Portugal → é → o Banco de Portugal
✗ o Banco de Portugal → é parte integrante de → o Sistema Europeu de Bancos Centrais"
"Os pontos turísticos mais procurados em Portugal são Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra, também entre 4-5 milhões de peregrinos religiosos visitam Fátima a cada ano, onde supostamente ocorreram aparições de a Virgem Maria a três pastores em 1917.","⚠ peregrinos religiosos → visitam → Fátima a cada ano
⚠ peregrinos religiosos → visitam → Fátima
⚠ entre 4-5 milhões de peregrinos religiosos → visitam → Fátima a cada ano","✗ Os pontos turísticos mais procurados em Portugal → são → Lisboa
✗ Os pontos turísticos mais procurados em Portugal → são → Algarve
✗ Os pontos turísticos mais procurados em Portugal → são → Madeira
✗ Os pontos turísticos mais procurados em Portugal → são → Porto
✗ Os pontos turísticos mais procurados em Portugal → são → a cidade de Coimbra
✗ entre 4-5 milhões de peregrinos religiosos → visitam → Fátima
✗ entre 4-5 milhões de peregrinos religiosos → visitam Fátima → a cada ano","✗ Os pontos turísticos mais procurados em Portugal → são → Lisboa, Algarve, Madeira, Porto e a cidade de Coimbra","✗ Os pontos turísticos mais procurados em Portugal → são → Lisboa
✗ Os pontos turísticos mais procurados em Portugal → são → Algarve
✗ Os pontos turísticos mais procurados em Portugal → são → Madeira
✗ Os pontos turísticos mais procurados em Portugal → são → Porto
✗ Os pontos turísticos mais procurados em Portugal → são → a cidade de Coimbra
✗ entre 4-5 milhões de peregrinos religiosos → visitam → Fátima",(nenhuma extração)
"Em 2007, Portugal tinha 10.617.575 habitantes, de os quais cerca de 332.137 eram imigrantes legais.",Portugal → tinha → 10.617.575 habitantes,"✓✓ Portugal → tinha → 10.617.575 habitantes
✗ Portugal → tinha 10.617.575 habitantes em → 2007
✗ cerca de 332.137 dos habitantes de Portugal → eram → imigrantes legais",✗ Portugal → tinha → 10.617.575 habitantes em 2007,"✓✓ Portugal → tinha → 10.617.575 habitantes
✗ cerca de 332.137 habitantes → eram → imigrantes legais",(nenhuma extração)
